번호,등록번호,서명(자료명),저자,출판사,출판년도,청구기호,입수유형,자료형태,,,가격,,,도서상태,등록일
108,2710,나비들의 천국,교육문화사,교육문화사,1999,408 하68ㄱ v.54,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
109,2711,감자. 고구마,교육문화사,교육문화사,1999,408 하68ㄱ v.55,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
110,2712,개들의 종류,교육문화사,교육문화사,1999,408 하68ㄱ v.56,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
111,2713,벼. 보리. 밀,교육문화사,교육문화사,1999,408 하68ㄱ v.57,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
112,2714,식충 식물의 종류,교육문화사,교육문화사,1999,408 하68ㄱ v.58,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
113,2715,제비의 여행,교육문화사,교육문화사,1999,408 하68ㄱ v.59,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
114,2716,사슴의 무리,교육문화사,교육문화사,1999,408 하68ㄱ v.60,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
115,2717,갈매기의 나들이,교육문화사,교육문화사,1999,408 하68ㄱ v.61,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
116,2718,여러가지 이끼,교육문화사,교육문화사,1999,408 하68ㄱ v.62,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
117,2719,가을꽃의 세상,교육문화사,교육문화사,1999,408 하68ㄱ v.63,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
118,2720,여러가지 선인장,교육문화사,교육문화사,1999,408 하68ㄱ v.64,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
119,2721,눈과 얼음의 변화,교육문화사,교육문화사,1999,408 하68ㄱ v.65,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
120,2722,현미경의 비밀,교육문화사,교육문화사,1999,408 하68ㄱ v.66,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
121,2723,지능 퍼즐,교육문화사,교육문화사,1999,408 하68ㄱ v.67,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
122,2724,사막의 신비,교육문화사,교육문화사,1999,408 하68ㄱ v.68,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
123,2725,성단성운,교육문화사,교육문화사,1999,408 하68ㄱ v.69,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
